user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SemiBin_S1_SemiBin_5	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia chipingensis	GCF_014337155.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia chipingensis	98.39	0.846	GCF_014337155.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia chipingensis	98.39	0.846	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_018918185.1, s__Wujia sp900539705, 95.0, 91.54, 0.693; GCA_937894705.1, s__Wujia sp002431865, 95.0, 90.93, 0.641; GCA_900553925.1, s__Wujia sp900553925, 95.0, 90.71, 0.56; GCA_002404515.1, s__Wujia sp002404515, 95.0, 89.86, 0.576; GCA_934318045.1, s__Wujia sp934318045, 95.0, 89.78, 0.497; GCA_900767585.1, s__Wujia sp900767585, 95.0, 89.54, 0.478; GCF_022174665.1, s__Wujia sp022174665, 95.0, 89.35, 0.551	90.74	11	N/A	N/A
SemiBin_S1_SemiBin_6	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-452;s__CAG-452 sp000434035	GCA_000434035.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-452;s__CAG-452 sp000434035	99.06	0.908	GCA_000434035.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-452;s__CAG-452 sp000434035	99.06	0.908	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-452;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900770415.1, s__CAG-452 sp900770415, 95.0, 94.35, 0.711; GCA_934167165.1, s__CAG-452 sp934167165, 95.0, 90.42, 0.611; GCA_945610215.1, s__CAG-452 sp945610215, 95.0, 88.34, 0.543; GCA_934162625.1, s__CAG-452 sp934162625, 95.0, 86.28, 0.265; GCA_934121925.1, s__CAG-452 sp934121925, 95.0, 85.89, 0.291; GCA_934162925.1, s__CAG-452 sp934162925, 95.0, 84.62, 0.177	87.9	11	N/A	N/A
SemiBin_S1_SemiBin_7	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-611;s__CAG-611 sp000434175	GCA_000434175.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-611;s__CAG-611 sp000434175	98.3	0.886	GCA_000434175.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-611;s__CAG-611 sp000434175	98.3	0.886	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-611;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900552235.1, s__CAG-611 sp900552235, 95.0, 93.99, 0.763	84.09	11	N/A	N/A
SemiBin_S1_SemiBin_8	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp000434335	GCA_000434335.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp000434335	96.2	0.755	GCA_000434335.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp000434335	96.2	0.755	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934167365.1, s__CAG-492 sp934167365, 95.0, 83.28, 0.163	88.22	11	N/A	N/A
SemiBin_S2_SemiBin_0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister succinatiphilus	GCF_000242435.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister succinatiphilus	96.69	0.749	GCF_000242435.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister succinatiphilus	96.69	0.749	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002320515.1, s__Dialister sp002320515, 95.0, 88.22, 0.475; GCF_900538805.1, s__Dialister sp900538805, 95.0, 86.76, 0.411; GCF_937959425.1, s__Dialister sp937959425, 95.0, 85.94, 0.335	97.4	11	N/A	N/A
SemiBin_S2_SemiBin_1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000980705	GCA_000980705.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000980705	98.73	0.803	GCA_000980705.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000980705	98.73	0.803	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934463425.1, s__Ruminococcus_C sp934463425, 95.0, 86.62, 0.454; GCF_000468015.1, s__Ruminococcus_C callidus, 95.0, 85.86, 0.32	97.52	11	N/A	N/A
SemiBin_S2_SemiBin_2	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii	GCF_900209925.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii	97.3	0.75	GCF_900209925.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii	97.3	0.75	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934317185.1, s__Anaerobutyricum sp934317185, 95.0, 87.16, 0.455; GCF_000173975.1, s__Anaerobutyricum hallii, 95.0, 86.86, 0.329; GCF_934307085.1, s__Anaerobutyricum sp934307085, 95.0, 84.87, 0.267	91.62	11	N/A	N/A
SemiBin_S2_SemiBin_3	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp900553225	GCA_900553225.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp900553225	98.02	0.823	GCA_900553225.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp900553225	98.02	0.823	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	84.57	11	N/A	N/A
SemiBin_S3_SemiBin_0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp934476515	GCF_934476515.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp934476515	96.81	0.765	GCF_934476515.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp934476515	96.81	0.765	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_005601135.1, s__Ruminococcus_E bovis, 95.0, 94.84, 0.711	95.79	11	N/A	N/A
SemiBin_S3_SemiBin_1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimivicinus;s__Fimivicinus sp900544375	GCA_900544375.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimivicinus;s__Fimivicinus sp900544375	99.37	0.968	GCA_900544375.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimivicinus;s__Fimivicinus sp900544375	99.37	0.968	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimivicinus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900544715.1, s__Fimivicinus sp900544715, 95.0, 90.58, 0.716; GCA_002320555.1, s__Fimivicinus sp002320555, 95.0, 82.47, 0.216; GCA_900549825.1, s__Fimivicinus sp900549825, 95.0, 82.18, 0.285	91.88	11	N/A	N/A
SemiBin_S3_SemiBin_2	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus ammoniilyticus	GCF_025567345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus ammoniilyticus	98.41	0.917	GCF_025567345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus ammoniilyticus	98.41	0.917	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_020735665.1, s__Coprococcus sp000154245, 95.0, 94.73, 0.747; GCA_937894905.1, s__Coprococcus sp002437435, 95.0, 90.21, 0.62	93.23	11	N/A	N/A
SemiBin_S3_SemiBin_3	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	GCF_000173975.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	98.75	0.862	GCF_000173975.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum hallii	98.75	0.862	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_934307085.1, s__Anaerobutyricum sp934307085, 95.0, 89.61, 0.483; GCF_900209925.1, s__Anaerobutyricum soehngenii, 95.0, 86.53, 0.306; GCA_934317185.1, s__Anaerobutyricum sp934317185, 95.0, 83.89, 0.253	93.33	11	N/A	N/A
