user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
S1_2230	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_A;s__	N/A	N/A	N/A	N/A	N/A	GCA_030540435.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_A;s__Butyricicoccus_A sp030540435	86.45	0.423	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	90.96	11	0.98839	N/A
S1_2302	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900540255	GCF_900540255.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900540255	99.17	0.891	GCF_900540255.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900540255	99.17	0.891	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000577815.1, s__Clostridium saudiense, 95.0, 84.87, 0.417; GCF_015670405.1, s__Clostridium sp015670405, 95.0, 84.74, 0.39; GCF_900543325.1, s__Clostridium sp900543325, 95.0, 83.79, 0.301; GCF_934754925.1, s__Clostridium sp934754925, 95.0, 83.78, 0.303; GCF_015555905.1, s__Clostridium sp015555905, 95.0, 83.25, 0.296; GCF_019734195.1, s__Clostridium sp900766315, 95.0, 82.96, 0.288; GCA_017383505.1, s__Clostridium sp017383505, 95.0, 82.92, 0.221; GCF_026168755.1, s__Clostridium sp026168755, 95.0, 82.89, 0.286; GCF_004353185.1, s__Clostridium cuniculi, 95.0, 82.8, 0.302; GCF_900547475.1, s__Clostridium sp900547475, 95.0, 82.69, 0.276; GCF_910588715.1, s__Clostridium sp910588715, 95.0, 82.52, 0.255; GCF_015667795.1, s__Clostridium sp015667795, 95.0, 81.7, 0.265; GCF_000320405.1, s__Clostridium celatum, 95.0, 81.18, 0.183	95.87	11	N/A	N/A
S1_2471	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	GCF_002834235.1	95.23	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	98.04	0.77	GCF_002834235.1	95.23	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	98.04	0.77	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002834225.1, s__Ruminococcus_E bromii, 95.0, 95.02, 0.783; GCA_905215855.1, s__Ruminococcus_E sp905215855, 95.0, 94.28, 0.763; GCA_902771755.1, s__Ruminococcus_E sp902771755, 95.0, 91.75, 0.674; GCA_902766775.1, s__Ruminococcus_E sp902766775, 95.0, 90.34, 0.663	88.14	11	N/A	N/A
S1_3101	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter sp003529475	GCF_003478335.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter sp003529475	98.56	0.875	GCF_003478335.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter sp003529475	98.56	0.875	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	92.49	11	N/A	N/A
S1_327	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA4285;s__UBA4285 sp900545225	GCA_900545225.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA4285;s__UBA4285 sp900545225	98.59	0.904	GCA_900545225.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA4285;s__UBA4285 sp900545225	98.59	0.904	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA4285;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022769005.1, s__UBA4285 sp022769005, 95.0, 82.03, 0.255	84.57	11	N/A	N/A
S1_32804	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp003526845	GCA_003526845.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp003526845	98.61	0.941	GCA_003526845.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp003526845	98.61	0.941	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	98.17	11	N/A	N/A
S1_3500	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp000434335	GCA_000434335.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp000434335	96.38	0.744	GCA_000434335.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp000434335	96.38	0.744	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934167365.1, s__CAG-492 sp934167365, 95.0, 83.25, 0.161	89.35	11	N/A	N/A
S1_3652	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__V9D3004;s__V9D3004 sp900760345	GCA_900760345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__V9D3004;s__V9D3004 sp900760345	99.02	0.883	GCA_900760345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__V9D3004;s__V9D3004 sp900760345	99.02	0.883	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__V9D3004;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902493385.1, s__V9D3004 sp902493385, 95.0, 84.92, 0.504; GCA_949292725.1, s__V9D3004 sp949292725, 95.0, 79.83, 0.159	86.45	11	N/A	N/A
S1_4004	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	98.71	0.851	GCF_000469305.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	98.71	0.851	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_946408025.1, s__Faecalitalea sp946408025, 95.0, 90.74, 0.645	93.68	11	N/A	N/A
S1_426	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__Woodwardibium;s__Woodwardibium sp900760275	GCA_900760275.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__Woodwardibium;s__Woodwardibium sp900760275	98.73	0.88	GCA_900760275.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__Woodwardibium;s__Woodwardibium sp900760275	98.73	0.88	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__Woodwardibium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_904419545.1, s__Woodwardibium gallinarum, 95.0, 83.8, 0.37	93.11	11	N/A	N/A
S1_4435	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Ventricola;s__Ventricola sp900542445	GCA_900542445.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Ventricola;s__Ventricola sp900542445	98.62	0.904	GCA_900542445.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Ventricola;s__Ventricola sp900542445	98.62	0.904	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Ventricola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934675735.1, s__Ventricola sp934675735, 95.0, 89.19, 0.63; GCA_934636105.1, s__Ventricola sp934636105, 95.0, 88.88, 0.584; GCA_934630975.1, s__Ventricola sp934630975, 95.0, 87.73, 0.539; GCA_900542395.1, s__Ventricola sp900542395, 95.0, 87.55, 0.53; GCA_900548125.1, s__Ventricola sp900548125, 95.0, 85.82, 0.234; GCA_934631055.1, s__Ventricola sp934631055, 95.0, 83.44, 0.216; GCA_934643825.1, s__Ventricola sp934643825, 95.0, 81.99, 0.193	95.57	11	N/A	N/A
S1_464	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium faecis	GCF_014306455.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium faecis	96.04	0.681	GCF_014306455.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__Catenibacterium faecis	96.04	0.681	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_025148785.1, s__Catenibacterium mitsuokai, 95.0, 93.83, 0.701; GCF_900540665.1, s__Catenibacterium sp900540665, 95.0, 92.99, 0.681; GCA_900764725.1, s__Catenibacterium sp900764725, 95.0, 92.99, 0.623; GCF_900540685.1, s__Catenibacterium sp900540685, 95.0, 92.79, 0.649; GCF_900764565.1, s__Catenibacterium sp900764565, 95.0, 92.21, 0.623	88.68	11	N/A	N/A
S1_4656	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	GCF_025147325.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	97.58	0.736	GCA_958432865.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris_A	97.97	0.471	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900129655.1, s__Bacteroides clarus, 95.0, 87.68, 0.549; GCF_018390535.1, s__Bacteroides propionicigenes, 95.0, 84.35, 0.351; GCF_025146565.1, s__Bacteroides eggerthii, 95.0, 83.79, 0.323; GCF_910578895.1, s__Bacteroides sp910578895, 95.0, 82.63, 0.262; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 82.33, 0.276	93.39	11	N/A	N/A
S1_4724	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	GCF_025567285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	98.54	0.83	GCF_025567285.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	98.54	0.83	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934247115.1, s__Coprococcus sp934247115, 95.0, 90.85, 0.588; GCF_025149915.1, s__Coprococcus eutactus, 95.0, 90.33, 0.445; GCA_900548315.1, s__Coprococcus sp900548315, 95.0, 89.87, 0.384; GCA_900557435.1, s__Coprococcus sp900557435, 95.0, 89.65, 0.333; GCA_029338615.1, s__Coprococcus sp029338615, 95.0, 89.47, 0.411; GCA_900767685.1, s__Coprococcus sp900767685, 95.24, 88.89, 0.37; GCA_934277375.1, s__Coprococcus sp934277375, 95.0, 88.61, 0.429; GCA_900548215.1, s__Coprococcus sp900548215, 95.0, 88.35, 0.372; GCA_934270935.1, s__Coprococcus sp934270935, 95.0, 87.46, 0.313; GCA_016297325.1, s__Coprococcus sp016297325, 95.0, 86.01, 0.303	94.12	11	N/A	N/A
S1_5441	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	GCA_025757685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	97.71	0.917	GCA_025757685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	97.71	0.917	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	87.86	11	N/A	N/A
