user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
S1_SemiBin_14	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__UBA1062;s__UBA1062 sp001896555	GCA_001896555.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__UBA1062;s__UBA1062 sp001896555	99.35	0.935	GCA_001896555.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__UBA1062;s__UBA1062 sp001896555	99.35	0.935	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__UBA1062;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_023230665.1, s__UBA1062 sp023230665, 95.0, 89.57, 0.613; GCA_018436855.1, s__UBA1062 sp018436855, 95.0, 88.48, 0.669; GCA_018433775.1, s__UBA1062 sp018433775, 95.0, 88.18, 0.669; GCA_018433085.1, s__UBA1062 sp018433085, 95.0, 86.58, 0.571; GCA_002316295.1, s__UBA1062 sp002316295, 95.0, 82.53, 0.166	89.83	11	N/A	N/A
S1_SemiBin_16	d__Bacteria;p__Bacillota_G;c__Limnochordia;o__DTU010;f__DTU010;g__DTU010;s__DTU010 sp002391385	GCA_002391385.1	95.0	d__Bacteria;p__Bacillota_G;c__Limnochordia;o__DTU010;f__DTU010;g__DTU010;s__DTU010 sp002391385	99.89	0.93	GCA_002391385.1	95.0	d__Bacteria;p__Bacillota_G;c__Limnochordia;o__DTU010;f__DTU010;g__DTU010;s__DTU010 sp002391385	99.89	0.93	d__Bacteria;p__Bacillota_G;c__Limnochordia;o__DTU010;f__DTU010;g__DTU010;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_029776155.1, s__DTU010 sp029776155, 95.0, 80.91, 0.214; GCA_900018335.1, s__DTU010 sp900018335, 95.0, 80.62, 0.212; GCA_012521335.1, s__DTU010 sp012521335, 95.0, 79.63, 0.207	92.15	11	N/A	N/A
S1_SemiBin_17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__Geofilum;s__Geofilum sp002411385	GCF_023674465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__Geofilum;s__Geofilum sp002411385	99.02	0.923	GCF_023674465.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__Geofilum;s__Geofilum sp002411385	99.02	0.923	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinilabiliaceae;g__Geofilum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.21	11	N/A	N/A
S1_SemiBin_18	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__QAMX01;g__RGIG6452;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__QAMX01;g__RGIG6452;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	93.6	11	0.84617	N/A
S1_SemiBin_19	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__JAAYXM01;g__JAAYXM01;s__JAAYXM01 sp012515925	GCA_012515925.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__JAAYXM01;g__JAAYXM01;s__JAAYXM01 sp012515925	99.46	0.963	GCA_012515925.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__JAAYXM01;g__JAAYXM01;s__JAAYXM01 sp012515925	99.46	0.963	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__JAAYXM01;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.54	11	N/A	N/A
S1_SemiBin_2	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__Sedimentibacter sp003483345	GCA_003483345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__Sedimentibacter sp003483345	98.13	0.652	GCA_003483345.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__Sedimentibacter sp003483345	98.13	0.652	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_028700795.1, s__Sedimentibacter sp028700795, 95.0, 86.51, 0.484; GCA_937875315.1, s__Sedimentibacter sp003487955, 95.0, 86.13, 0.38; GCA_012519555.1, s__Sedimentibacter sp012519555, 95.0, 83.7, 0.263; GCA_017995755.1, s__Sedimentibacter sp017995755, 95.0, 82.08, 0.154	93.23	11	N/A	N/A
S1_SemiBin_20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__UBA5429;s__UBA5429 sp002427605	GCA_002427605.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__UBA5429;s__UBA5429 sp002427605	97.83	0.919	GCA_002427605.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__UBA5429;s__UBA5429 sp002427605	97.83	0.919	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__UBA5429;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_029570835.1, s__UBA5429 sp029570835, 95.0, 90.27, 0.618	95.23	11	N/A	N/A
S1_SemiBin_21	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Ch29;f__Ch29;g__JAAYEV01;s__	N/A	N/A	N/A	N/A	N/A	GCA_012728565.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Ch29;f__Ch29;g__JAAYEV01;s__JAAYEV01 sp012728565	93.32	0.786	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Ch29;f__Ch29;g__JAAYEV01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	93.37	11	0.9834	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1_SemiBin_23	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;g__Mesotoga;s__Mesotoga infera_B	GCF_900157305.1	95.0	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;g__Mesotoga;s__Mesotoga infera_B	98.9	0.912	GCF_900157305.1	95.0	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;g__Mesotoga;s__Mesotoga infera_B	98.9	0.912	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;g__Mesotoga;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002305955.1, s__Mesotoga sp002305955, 95.0, 89.96, 0.805	94.08	11	N/A	N/A
S1_SemiBin_25	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012839475.1, s__Proteiniphilum sp012839475, 95.0, 87.52, 0.445; GCA_012838585.1, s__Proteiniphilum sp012838585, 95.0, 86.89, 0.409; GCA_023622765.1, s__Proteiniphilum sp019136875, 95.0, 86.51, 0.414	97.42	11	0.99177	N/A
S1_SemiBin_26	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1426;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1426;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_012521055.1, s__UBA1426 sp012521055, 95.0, 85.19, 0.329; GCA_002385825.1, s__UBA1426 sp002385825, 95.0, 83.24, 0.278	95.81	11	0.94929	N/A
S1_SemiBin_27	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__JAAYAR01;s__JAAYAR01 sp012719235	GCA_012719235.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__JAAYAR01;s__JAAYAR01 sp012719235	99.59	0.946	GCA_012719235.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__JAAYAR01;s__JAAYAR01 sp012719235	99.59	0.946	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__JAAYAR01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.11	11	N/A	N/A
S1_SemiBin_28	d__Bacteria;p__Bacillota_B;c__Syntrophomonadia;o__Syntrophomonadales;f__DTU052;g__DTU052;s__	N/A	N/A	N/A	N/A	N/A	GCA_002329495.1	95.0	d__Bacteria;p__Bacillota_B;c__Syntrophomonadia;o__Syntrophomonadales;f__DTU052;g__DTU052;s__DTU052 sp002329495	87.5	0.533	d__Bacteria;p__Bacillota_B;c__Syntrophomonadia;o__Syntrophomonadales;f__DTU052;g__DTU052;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	94.4	11	0.95434	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1_SemiBin_29	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Brooklawnia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Brooklawnia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_937867175.1, s__Brooklawnia sp937867175, 95.0, 82.71, 0.184	94.96	11	0.97765	N/A
S1_SemiBin_3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum;s__Proteiniphilum sp002305715	GCA_002305715.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum;s__Proteiniphilum sp002305715	99.61	0.941	GCA_002305715.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum;s__Proteiniphilum sp002305715	99.61	0.941	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_028705255.1, s__Proteiniphilum sp002411515, 95.0, 80.76, 0.211	95.85	11	N/A	N/A
S1_SemiBin_30	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__UBA5734;g__UBA8949;s__UBA8949 sp012520975	GCA_012520975.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__UBA5734;g__UBA8949;s__UBA8949 sp012520975	99.46	0.883	GCA_012520975.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__UBA5734;g__UBA8949;s__UBA8949 sp012520975	99.46	0.883	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__UBA5734;g__UBA8949;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012519875.1, s__UBA8949 sp012519875, 95.0, 89.12, 0.723	97.4	11	N/A	N/A
S1_SemiBin_32	d__Bacteria;p__Bacillota_D;c__Dethiobacteria;o__DTU022;f__UBA8154;g__DUNV01;s__	N/A	N/A	N/A	N/A	N/A	GCA_012728375.1	95.0	d__Bacteria;p__Bacillota_D;c__Dethiobacteria;o__DTU022;f__UBA8154;g__DUNV01;s__DUNV01 sp012728375	90.58	0.695	d__Bacteria;p__Bacillota_D;c__Dethiobacteria;o__DTU022;f__UBA8154;g__DUNV01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	92.21	11	0.95696	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1_SemiBin_33	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales;f__Firm-18;g__Firm-18;s__Firm-18 sp001604215	GCA_001604215.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales;f__Firm-18;g__Firm-18;s__Firm-18 sp001604215	99.28	0.717	GCA_001604215.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales;f__Firm-18;g__Firm-18;s__Firm-18 sp001604215	99.28	0.717	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales;f__Firm-18;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	90.8	11	N/A	N/A
S1_SemiBin_34	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__SLHB01;g__UBA2224;s__UBA2224 sp012719295	GCA_012719295.1	95.0	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__SLHB01;g__UBA2224;s__UBA2224 sp012719295	99.81	0.993	GCA_012719295.1	95.0	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__SLHB01;g__UBA2224;s__UBA2224 sp012719295	99.81	0.993	d__Bacteria;p__Hydrogenedentota;c__Hydrogenedentia;o__Hydrogenedentiales;f__SLHB01;g__UBA2224;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002348185.1, s__UBA2224 sp002348185, 95.0, 91.07, 0.811	91.3	11	N/A	N/A
S1_SemiBin_35	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__BRH-c25;s__	N/A	N/A	N/A	N/A	N/A	GCA_012519325.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__BRH-c25;s__BRH-c25 sp012519325	94.75	0.81	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__BRH-c25;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_022706865.1, s__BRH-c25 sp022706865, 95.0, 84.22, 0.329; GCA_017994115.1, s__BRH-c25 sp017994115, 95.0, 83.74, 0.335; GCA_022706825.1, s__BRH-c25 sp022706825, 95.0, 83.48, 0.3	94.74	11	0.97935	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1_SemiBin_37	d__Bacteria;p__Bacillota_A;c__Clostridia;o__DSM-8532;f__DSM-8532;g__DTU059;s__DTU059 sp012520855	GCA_012520855.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__DSM-8532;f__DSM-8532;g__DTU059;s__DTU059 sp012520855	99.56	0.866	GCA_012520855.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__DSM-8532;f__DSM-8532;g__DTU059;s__DTU059 sp012520855	99.56	0.866	d__Bacteria;p__Bacillota_A;c__Clostridia;o__DSM-8532;f__DSM-8532;g__DTU059;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_012840245.1, s__DTU059 sp012840245, 95.0, 81.4, 0.194	90.92	11	N/A	N/A
S1_SemiBin_38	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__UBA2256;s__UBA2256 sp001603165	GCA_001603165.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__UBA2256;s__UBA2256 sp001603165	99.53	0.937	GCA_001603165.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__UBA2256;s__UBA2256 sp001603165	99.53	0.937	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Rectinemataceae;g__UBA2256;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_023421875.1, s__UBA2256 sp023421875, 95.0, 82.67, 0.211; GCA_002383375.1, s__UBA2256 sp002383375, 95.0, 80.95, 0.252; GCA_002428725.1, s__UBA2256 sp002428725, 95.0, 79.86, 0.166	88.12	11	N/A	N/A
S1_SemiBin_39	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1431;g__UBA1431;s__UBA1431 sp002329665	GCA_002329665.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1431;g__UBA1431;s__UBA1431 sp002329665	98.74	0.939	GCA_002329665.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1431;g__UBA1431;s__UBA1431 sp002329665	98.74	0.939	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.64	11	N/A	N/A
S1_SemiBin_40	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.92	11	0.93376	N/A
S1_SemiBin_41	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__JAAYAM01 sp012719355	GCA_012719355.1	95.0	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__JAAYAM01 sp012719355	99.74	0.946	GCA_012719355.1	95.0	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__JAAYAM01 sp012719355	99.74	0.946	d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	90.88	11	N/A	N/A
S1_SemiBin_42	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Acetivibrionales;f__STF1-152;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Acetivibrionales;f__STF1-152;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	88.82	11	0.78073	N/A
S1_SemiBin_45	d__Bacteria;p__Bacillota_E;c__DTU015;o__DTU015;f__DTU015;g__UBA3951;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_E;c__DTU015;o__DTU015;f__DTU015;g__UBA3951;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	89.31	11	0.91055	N/A
